Claim_ID,Food_ID,Receiver_ID,Status,Timestamp
1,164,908,Pending,2025-03-05
2,353,391,Cancelled,2025-03-11
3,626,492,Completed,2025-03-21
4,61,933,Cancelled,2025-03-04
5,345,229,Pending,2025-03-14
6,273,607,Cancelled,2025-03-02
7,735,256,Cancelled,2025-03-07
8,382,900,Pending,2025-03-05
9,278,807,Completed,2025-03-18
10,669,975,Completed,2025-03-06
11,290,118,Pending,2025-03-04
12,694,739,Completed,2025-03-01
13,951,959,Pending,2025-03-08
14,426,233,Cancelled,2025-03-08
15,684,97,Completed,2025-03-07
16,320,836,Cancelled,2025-03-07
17,465,588,Cancelled,2025-03-15
18,952,729,Completed,2025-03-09
19,798,399,Pending,2025-03-16
20,792,88,Completed,2025-03-07
21,281,493,Completed,2025-03-04
22,345,757,Pending,2025-03-09
23,674,526,Completed,2025-03-06
24,594,717,Pending,2025-03-15
25,371,10,Completed,2025-03-10
26,959,233,Cancelled,2025-03-21
27,58,487,Completed,2025-03-17
28,586,189,Pending,2025-03-19
29,812,769,Pending,2025-03-14
30,193,228,Pending,2025-03-07
31,937,546,Completed,2025-03-03
32,624,371,Cancelled,2025-03-17
33,905,386,Cancelled,2025-03-16
34,713,271,Pending,2025-03-18
35,190,93,Cancelled,2025-03-09
36,597,562,Pending,2025-03-16
37,832,920,Cancelled,2025-03-13
38,757,380,Cancelled,2025-03-18
39,58,923,Pending,2025-03-12
40,141,789,Pending,2025-03-10
41,415,336,Pending,2025-03-18
42,886,256,Pending,2025-03-07
43,611,306,Pending,2025-03-16
44,825,31,Pending,2025-03-09
45,457,569,Completed,2025-03-13
46,556,412,Cancelled,2025-03-12
47,746,48,Pending,2025-03-07
48,895,373,Pending,2025-03-09
49,190,678,Pending,2025-03-20
50,251,804,Pending,2025-03-19
51,543,255,Pending,2025-03-04
52,507,517,Cancelled,2025-03-15
53,37,449,Completed,2025-03-11
54,534,737,Cancelled,2025-03-06
55,438,601,Completed,2025-03-09
56,690,452,Completed,2025-03-17
57,225,295,Completed,2025-03-11
58,258,149,Completed,2025-03-13
59,797,371,Cancelled,2025-03-02
60,390,391,Pending,2025-03-16
61,990,550,Cancelled,2025-03-08
62,258,678,Pending,2025-03-17
63,119,279,Pending,2025-03-08
64,771,90,Completed,2025-03-17
65,424,532,Cancelled,2025-03-15
66,310,730,Cancelled,2025-03-11
67,486,817,Completed,2025-03-17
68,526,321,Pending,2025-03-02
69,321,45,Completed,2025-03-10
70,203,479,Completed,2025-03-19
71,538,897,Cancelled,2025-03-02
72,851,44,Completed,2025-03-04
73,708,222,Pending,2025-03-05
74,487,62,Cancelled,2025-03-02
75,909,161,Cancelled,2025-03-06
76,877,185,Completed,2025-03-13
77,65,324,Completed,2025-03-04
78,504,151,Completed,2025-03-15
79,188,795,Cancelled,2025-03-03
80,153,35,Pending,2025-03-21
